food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
Pear (Pyrus sp.),Fruits,0.36,37.52,106,6.74,1.64
Phalsa (Grewia asiatica),Fruits,1.66,71.46,362,23.65,1.99
Pineapple (Ananas comosus),Fruits,0.52,43.02,143,13.56,1.43
Plum (Prunus domestica),Fruits,0.64,56.88,162,13.83,1.55
"Pomegranate, maroon seeds (Punica granatum)",Fruits,1.33,54.73,206,27.2,2.13
Pummelo (Citrus maxima),Fruits,0.68,50.19,189,13.99,1.06
"Raisins, dried, black (Vitis vinifera)",Fruits,2.57,305.69,1105,77.62,10.99
"Raisins, dried, golden (Vitis vinifera)",Fruits,2.76,296.61,913,93.3,10.16
Rambutan (Nephelium lappaceum),Fruits,0.68,73.14,131,6.98,1.75
Sapota (Achras sapota),Fruits,0.92,73.37,280,22.26,4.61
Soursop (Annona muricata),Fruits,0.74,62.14,264,25.83,6.78
Star fruit (Averrhoa carambola),Fruits,0.79,26.29,159,11.67,1.56
Strawberry (Fragaria x ananassa),Fruits,0.97,24.62,140,26.31,1.19
"Tamarind, pulp (Tamarindus indica)",Fruits,2.92,288.48,836,113,24.92
"Water melon, dark green (sugar baby) (Citrullus vulgaris)",Fruits,0.6,20.32,124,11.33,1.89
"Water melon, pale green (Citrullus vulgaris)",Fruits,0.59,16.73,126,8.09,1.62
Wood Apple (Limonia acidissima),Fruits,3.14,78.15,347,84.32,1.48
Zizyphus (Zizyphus jujube),Fruits,1.34,48.76,237,32.38,1.52
Beet root (Beta vulgaris),Roots and tubers,1.95,35.61,306,36.33,69.44
"Carrot, orange (Daucus carota)",Roots and tubers,0.95,33.22,273,43.06,52.33
"Carrot, red (Daucus carota)",Roots and tubers,1.04,38.24,267,25.81,60.69
Colocasia (Colocasia esculenta),Roots and tubers,3.31,88.91,514,81.16,4.54
Lotus root (Nelumbium nelumbo),Roots and tubers,1.94,79.35,611,74.3,20.63
"Potato, brown skin, big (Solanum tuberosum)",Roots and tubers,1.54,69.79,541,43.42,4.11
"Potato, brown skin, small (Solanum tuberosum)",Roots and tubers,1.35,60.95,474,37.9,3.97
"Potato, red skin (Solanum tuberosum)",Roots and tubers,1.83,73.14,501,30.39,4.36
"Radish, elongate, red skin (Raphanus sativus)",Roots and tubers,0.67,32.03,255,27.51,24.73
"Radish, elongate, white skin (Raphanus sativus)",Roots and tubers,0.77,32.27,288,30.1,28.2
"Radish, round, red skin (Raphanus sativus)",Roots and tubers,0.89,31.07,308,28.27,32.27
"Radish, round, white skin (Raphanus sativus)",Roots and tubers,0.8,30.83,287,29.47,24.14
"Sweet potato, brown skin (Ipomoea batatas)",Roots and tubers,1.33,108.99,345,42.96,29.6
"Sweet potato, pink skin (Ipomoea batatas)",Roots and tubers,1.27,108.03,329,37.6,29.04
Tapioca (Manihot esculenta),Roots and tubers,1.03,79.83,255,42.55,10.86
Water Chestnut (Eleocharis dulcis),Roots and tubers,0.86,95.6,382,62.83,13.08
"Yam, elephant (Amorphophallus campanulatus)",Roots and tubers,2.56,84.37,501,43.06,14.33
"Yam, ordinary (Amorphophallus sp.)",Roots and tubers,2.18,83.41,463,49.46,15.28
"Yam, wild (Dioscorea villosa)",Roots and tubers,3.07,102.77,654,55.94,12.8
