food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
Brinjal-21 (Solanum melongena),Other vegetables,1.36,27.01,252.0,34.98,3.06,Moderate,Vegetarian,86.858
Brinjal - all varieties (Solanum melongena),Other vegetables,1.48,25.33,247.0,32.56,3.55,Moderate,Vegetarian,87.32450000000001
Broad beans (Vicia faba),Other vegetables,3.85,29.4,362.0,67.97,20.74,Avoid,Vegetarian,81.3145
"Capsicum, green (Capsicum annuum)",Other vegetables,1.11,16.25,154.0,23.0,1.84,Safe,Vegetarian,92.16799999999999
"Capsicum, red (Capsicum annuum)",Other vegetables,1.47,19.84,224.0,30.81,1.7,Moderate,Vegetarian,88.64450000000001
"Capsicum, yellow (Capsicum annuum)",Other vegetables,1.35,18.64,242.0,43.33,1.56,Moderate,Vegetarian,87.0055
Cauliflower (Brassica oleracea var. botrytis),Other vegetables,2.15,22.94,329.0,47.33,30.72,Moderate,Vegetarian,81.7975
Celery stalk (Apium graveolens),Other vegetables,0.98,16.49,298.0,44.84,10.68,Moderate,Vegetarian,83.30399999999999
Cho-cho-marrow (Sechium edule),Other vegetables,0.66,18.88,120.0,21.61,1.28,Safe,Vegetarian,93.5155
Cluster beans (Cyamopsis tetragonoloba),Other vegetables,3.55,40.15,301.0,45.28,4.05,Moderate,Vegetarian,86.0335
"Colocasia, stem, black (Colocasia esculenta)",Other vegetables,0.76,23.9,381.0,20.31,0.45,Avoid,Vegetarian,80.67200000000001
"Colocasia, stem, green (Colocasia esculenta)",Other vegetables,0.91,19.36,414.0,30.73,0.6,Avoid,Vegetarian,78.64349999999999
"Corn, baby (Zea mays)",Other vegetables,2.69,73.14,260.0,8.69,1.4,Moderate,Vegetarian,89.1855
"Cucumber, green, elongate (Cucumis sativus)",Other vegetables,0.71,19.6,183.0,28.34,6.33,Safe,Vegetarian,89.82649999999998
"Cucumber, green, short (Cucumis sativus)",Other vegetables,0.83,17.45,198.0,29.74,6.11,Safe,Vegetarian,89.1375
"Cucumber, orange, round (Cucumis sativus)",Other vegetables,0.98,19.6,185.0,23.17,8.16,Safe,Vegetarian,90.1635
Drumstick (Moringa oleifera),Other vegetables,2.62,29.4,419.0,52.87,22.38,Avoid,Vegetarian,77.9075
"Field beans, tender, broad (Vicia faba)",Other vegetables,3.06,30.83,345.0,73.3,14.14,Moderate,Vegetarian,81.438
"Field beans, tender, lean (Vicia faba)",Other vegetables,3.71,33.46,314.0,76.54,12.76,Moderate,Vegetarian,83.54499999999999
"French beans, country (Phaseolus vulgaris)",Other vegetables,2.49,24.38,324.0,59.86,8.84,Moderate,Vegetarian,82.855
"French beans, hybrid (Phaseolus vulgaris)",Other vegetables,2.12,22.23,317.0,45.9,9.18,Moderate,Vegetarian,83.516
"Jack fruit, raw (Artocarpus heterophyllus)",Other vegetables,1.98,26.29,327.0,27.78,3.53,Moderate,Vegetarian,84.06450000000001
"Jack fruit, seed, mature (Artocarpus heterophyllus)",Other vegetables,5.79,76.96,376.0,29.33,4.0,Avoid,Vegetarian,85.32350000000001
Knol - Khol (Brassica oleracea),Other vegetables,1.58,16.01,327.0,40.77,27.46,Moderate,Vegetarian,81.8185
"Kovai, big (Coccinia cordifolia)",Other vegetables,1.39,17.45,198.0,36.9,1.53,Safe,Vegetarian,89.5685
"Kovai, small (Coccinia cordifolia)",Other vegetables,1.22,19.12,167.0,26.29,2.2,Safe,Vegetarian,91.44550000000001
Ladies finger (Abelmoschus esculentus),Other vegetables,2.08,27.49,263.0,57.48,7.37,Moderate,Vegetarian,85.6875
"Mango, green, raw (Mangifera indica)",Other vegetables,0.69,49.0,147.0,14.92,33.15,Safe,Vegetarian,90.93650000000001
"Onion, stalk (Allium cepa)",Other vegetables,2.07,25.57,312.0,28.53,15.52,Moderate,Vegetarian,84.2675
"Papaya, raw (Carica papaya)",Other vegetables,0.5,23.9,173.0,24.11,7.55,Safe,Vegetarian,90.267
Parwar (Trichosanthes dioica),Other vegetables,1.4,24.14,117.0,33.81,2.29,Safe,Vegetarian,93.745
"Peas, fresh (Pisum sativum)",Other vegetables,7.25,81.26,249.0,55.95,3.66,Moderate,Vegetarian,91.81949999999999
"Plantain, flower (Musa x paradisiaca)",Other vegetables,1.47,21.27,488.0,47.31,7.51,Avoid,Vegetarian,74.329
"Plantain, green (Musa x paradisiaca)",Other vegetables,1.18,79.83,402.0,31.69,18.57,Avoid,Vegetarian,78.56700000000001
"Plantain, stem (Musa x paradisiaca)",Other vegetables,0.35,39.44,373.0,16.31,23.17,Avoid,Vegetarian,79.72599999999998
"Pumpkin, green, cylindrical (Cucurbita maxima)",Other vegetables,0.87,24.62,186.0,24.51,5.21,Safe,Vegetarian,90.08400000000002
"Pumpkin, orange, round (Cucurbita maxima)",Other vegetables,0.84,23.18,253.0,22.18,8.81,Moderate,Vegetarian,86.6405
"Red gram, tender, fresh (Cajanus cajan)",Other vegetables,8.09,124.28,616.0,141.0,2.54,Avoid,Vegetarian,70.113
Ridge gourd (Luffa acutangula),Other vegetables,0.91,13.15,118.0,33.06,4.71,Safe,Vegetarian,93.12149999999998
"Ridge gourd, smooth skin (Luffa acutangula)",Other vegetables,0.98,15.3,125.0,39.25,6.27,Safe,Vegetarian,92.454
