food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety
"Grapes, seeded, round, red (Vitis vinifera)",Fruits,0.95,58.32,188.0,27.91,1.59,Safe
"Grapes, seedless, oval, black (Vitis vinifera)",Fruits,1.41,94.41,237.0,29.02,1.83,Moderate
"Grapes, seedless, round, green (Vitis vinifera)",Fruits,0.62,53.54,168.0,20.27,1.81,Safe
"Grapes, seedless, round, black (Vitis vinifera)",Fruits,1.24,89.39,235.0,26.68,1.92,Moderate
"Guava, white flesh (Psidium guajava)",Fruits,1.44,32.27,283.0,23.54,2.87,Moderate
"Guava, pink flesh (Psidium guajava)",Fruits,1.19,46.61,270.0,29.93,1.89,Moderate
"Jack fruit, ripe (Artocarpus heterophyllus)",Fruits,2.74,72.18,279.0,23.02,1.62,Moderate
"Jambu fruit, ripe (Syzygium samarangense)",Fruits,0.82,56.17,103.0,9.6,2.64,Safe
Karonda fruit (Carissa carandas),Fruits,1.15,33.7,351.0,32.62,2.55,Avoid
"Lemon, juice (Citrus limon)",Fruits,0.41,36.57,113.0,9.86,1.21,Safe
"Lime, sweet,pulp (Citrus limetta)",Fruits,0.76,27.25,182.0,20.55,1.17,Safe
Litchi (Litchi chinensis),Fruits,0.99,53.78,161.0,23.32,0.54,Safe
"Mango, ripe, banganapalli (Mangifera indica)",Fruits,0.54,41.83,144.0,11.07,1.34,Safe
"Mango, ripe, gulabkhas (Mangifera indica)",Fruits,0.52,49.95,115.0,10.66,1.39,Safe
"Mango, ripe, himsagar (Mangifera indica)",Fruits,0.46,44.69,137.0,12.25,1.31,Safe
"Mango, ripe, kesar (Mangifera indica)",Fruits,0.54,55.21,143.0,12.36,1.43,Safe
"Mango, ripe, neelam (Mangifera indica)",Fruits,0.68,42.54,137.0,11.63,1.2,Safe
"Mango, ripe, paheri (Mangifera indica)",Fruits,0.68,44.93,153.0,15.18,1.63,Safe
"Mango, ripe, totapari (Mangifera indica)",Fruits,0.41,59.27,160.0,9.87,1.32,Safe
Mangosteen (Garcinia mangostana),Fruits,0.63,52.34,46.93,7.18,3.79,Safe
Manila tamarind (Pithecellobium dulce),Fruits,3.56,81.74,376.0,73.53,1.35,Avoid
"Musk melon, orange flesh (Cucumis melon)",Fruits,0.42,23.18,206.0,17.28,14.94,Moderate
"Musk melon, yellow flesh (Cucumis melon)",Fruits,0.53,27.72,196.0,13.09,15.78,Safe
"Orange, pulp (Citrus aurantium)",Fruits,0.7,37.28,164.0,12.9,1.47,Safe
"Papaya, ripe (Carica papaya)",Fruits,0.42,23.9,173.0,17.73,6.68,Safe
Peach (Prunus communis),Fruits,0.86,40.15,281.0,19.08,1.15,Moderate
Pear (Pyrus sp.),Fruits,0.36,37.52,106.0,6.74,1.64,Safe
Phalsa (Grewia asiatica),Fruits,1.66,71.46,362.0,23.65,1.99,Avoid
Pineapple (Ananas comosus),Fruits,0.52,43.02,143.0,13.56,1.43,Safe
Plum (Prunus domestica),Fruits,0.64,56.88,162.0,13.83,1.55,Safe
"Pomegranate, maroon seeds (Punica granatum)",Fruits,1.33,54.73,206.0,27.2,2.13,Moderate
Pummelo (Citrus maxima),Fruits,0.68,50.19,189.0,13.99,1.06,Safe
"Raisins, dried, black (Vitis vinifera)",Fruits,2.57,305.69,1105.0,77.62,10.99,Avoid
"Raisins, dried, golden (Vitis vinifera)",Fruits,2.76,296.61,913.0,93.3,10.16,Avoid
Rambutan (Nephelium lappaceum),Fruits,0.68,73.14,131.0,6.98,1.75,Safe
Sapota (Achras sapota),Fruits,0.92,73.37,280.0,22.26,4.61,Moderate
Soursop (Annona muricata),Fruits,0.74,62.14,264.0,25.83,6.78,Moderate
Star fruit (Averrhoa carambola),Fruits,0.79,26.29,159.0,11.67,1.56,Safe
Strawberry (Fragaria x ananassa),Fruits,0.97,24.62,140.0,26.31,1.19,Safe
"Tamarind, pulp (Tamarindus indica)",Fruits,2.92,288.48,836.0,113.0,24.92,Avoid
"Water melon, dark green (sugar baby) (Citrullus vulgaris)",Fruits,0.6,20.32,124.0,11.33,1.89,Safe
"Water melon, pale green (Citrullus vulgaris)",Fruits,0.59,16.73,126.0,8.09,1.62,Safe
Wood Apple (Limonia acidissima),Fruits,3.14,78.15,347.0,84.32,1.48,Moderate
Zizyphus (Zizyphus jujube),Fruits,1.34,48.76,237.0,32.38,1.52,Moderate
Beet root (Beta vulgaris),Roots and tubers,1.95,35.61,306.0,36.33,69.44,Moderate
"Carrot, orange (Daucus carota)",Roots and tubers,0.95,33.22,273.0,43.06,52.33,Moderate
"Carrot, red (Daucus carota)",Roots and tubers,1.04,38.24,267.0,25.81,60.69,Moderate
Colocasia (Colocasia esculenta),Roots and tubers,3.31,88.91,514.0,81.16,4.54,Avoid
Lotus root (Nelumbium nelumbo),Roots and tubers,1.94,79.35,611.0,74.3,20.63,Avoid
"Potato, brown skin, big (Solanum tuberosum)",Roots and tubers,1.54,69.79,541.0,43.42,4.11,Avoid
"Potato, brown skin, small (Solanum tuberosum)",Roots and tubers,1.35,60.95,474.0,37.9,3.97,Avoid
"Potato, red skin (Solanum tuberosum)",Roots and tubers,1.83,73.14,501.0,30.39,4.36,Avoid
"Radish, elongate, red skin (Raphanus sativus)",Roots and tubers,0.67,32.03,255.0,27.51,24.73,Moderate
"Radish, elongate, white skin (Raphanus sativus)",Roots and tubers,0.77,32.27,288.0,30.1,28.2,Moderate
"Radish, round, red skin (Raphanus sativus)",Roots and tubers,0.89,31.07,308.0,28.27,32.27,Moderate
"Radish, round, white skin (Raphanus sativus)",Roots and tubers,0.8,30.83,287.0,29.47,24.14,Moderate
"Sweet potato, brown skin (Ipomoea batatas)",Roots and tubers,1.33,108.99,345.0,42.96,29.6,Moderate
"Sweet potato, pink skin (Ipomoea batatas)",Roots and tubers,1.27,108.03,329.0,37.6,29.04,Moderate
Tapioca (Manihot esculenta),Roots and tubers,1.03,79.83,255.0,42.55,10.86,Moderate
Water Chestnut (Eleocharis dulcis),Roots and tubers,0.86,95.6,382.0,62.83,13.08,Avoid
"Yam, elephant (Amorphophallus campanulatus)",Roots and tubers,2.56,84.37,501.0,43.06,14.33,Avoid
"Yam, ordinary (Amorphophallus sp.)",Roots and tubers,2.18,83.41,463.0,49.46,15.28,Avoid
"Yam, wild (Dioscorea villosa)",Roots and tubers,3.07,102.77,654.0,55.94,12.8,Avoid
"Chillies, green-1 (Capsicum annum)",Condiments and spices,2.62,45.65,431.0,62.16,3.32,Avoid
"Chillies, green-2 (Capsicum annum)",Condiments and spices,2.28,39.91,321.0,51.72,2.47,Moderate
"Chillies, green-3 (Capsicum annum)",Condiments and spices,2.38,40.39,317.0,50.24,2.56,Moderate
"Chillies, green-4 (Capsicum annum)",Condiments and spices,2.33,45.41,318.0,42.79,1.94,Moderate
"Chillies, green-5 (Capsicum annum)",Condiments and spices,2.01,43.02,317.0,44.35,2.19,Moderate
"Chillies, green-6 (Capsicum annum)",Condiments and spices,3.01,41.83,340.0,56.05,2.43,Moderate
"Chillies, green-7 (Capsicum annum)",Condiments and spices,2.12,38.96,319.0,45.58,2.0,Moderate
"Chillies, green - all varieties (Capsicum annum)",Condiments and spices,2.36,42.3,341.0,50.91,2.5,Moderate
Coriander leaves (Coriandrum sativum),Condiments and spices,3.52,31.07,546.0,64.69,37.0,Avoid
Curry leaves (Murraya koenigii),Condiments and spices,7.41,63.58,584.0,83.29,18.66,Avoid
"Garlic, big clove (Allium sativum)",Condiments and spices,6.92,123.8,430.0,119.0,9.42,Avoid
"Garlic, small clove (Allium sativum)",Condiments and spices,6.75,122.85,453.0,116.0,10.56,Avoid
"Garlic, single clove, Kashmir (Allium sativum)",Condiments and spices,6.12,125.0,584.0,128.0,8.87,Avoid
"Ginger, fresh (Zingiber officinale)",Condiments and spices,2.22,54.97,407.0,44.36,10.03,Avoid
Mango ginger (Curcuma amada),Condiments and spices,1.45,42.3,384.0,68.33,5.51,Avoid
Mint leaves (Mentha spicata),Condiments and spices,4.66,37.05,539.0,65.25,16.87,Avoid
"Onion, big (Allium cepa)",Condiments and spices,1.5,48.04,171.0,32.34,5.5,Safe
"Onion, small (Allium cepa)",Condiments and spices,1.82,56.64,160.0,39.65,4.06,Safe
